,model,regYear,regMonth,carCommentVolum,newsReplyVolum
0,02aab221aabc03b9,2016,1,132,399
1,02aab221aabc03b9,2016,2,160,3043
2,02aab221aabc03b9,2016,3,357,798
3,02aab221aabc03b9,2016,4,243,3821
4,02aab221aabc03b9,2016,5,283,933
5,02aab221aabc03b9,2016,6,252,143
6,02aab221aabc03b9,2016,7,557,623
7,02aab221aabc03b9,2016,8,652,1809
8,02aab221aabc03b9,2016,9,506,1033
9,02aab221aabc03b9,2016,10,649,4699
10,02aab221aabc03b9,2016,11,436,1948
11,02aab221aabc03b9,2016,12,361,1283
12,02aab221aabc03b9,2017,1,375,774
13,02aab221aabc03b9,2017,2,483,2156
14,02aab221aabc03b9,2017,3,848,2144
15,02aab221aabc03b9,2017,4,380,310
16,02aab221aabc03b9,2017,5,554,2579
17,02aab221aabc03b9,2017,6,310,546
18,02aab221aabc03b9,2017,7,626,132
19,02aab221aabc03b9,2017,8,843,2982
20,02aab221aabc03b9,2017,9,1058,378
21,02aab221aabc03b9,2017,10,784,1947
22,02aab221aabc03b9,2017,11,608,1113
23,02aab221aabc03b9,2017,12,403,2037
24,04e66e578f653ab9,2016,1,6,99
25,04e66e578f653ab9,2016,2,6,1607
26,04e66e578f653ab9,2016,3,4,3887
27,04e66e578f653ab9,2016,4,11,1695
28,04e66e578f653ab9,2016,5,21,1141
29,04e66e578f653ab9,2016,6,18,335
30,04e66e578f653ab9,2016,7,36,2934
31,04e66e578f653ab9,2016,8,33,992
32,04e66e578f653ab9,2016,9,63,613
33,04e66e578f653ab9,2016,10,46,2150
34,04e66e578f653ab9,2016,11,49,910
35,04e66e578f653ab9,2016,12,46,1979
36,04e66e578f653ab9,2017,1,59,1337
37,04e66e578f653ab9,2017,2,80,851
38,04e66e578f653ab9,2017,3,94,107
39,04e66e578f653ab9,2017,4,81,513
40,04e66e578f653ab9,2017,5,84,96
41,04e66e578f653ab9,2017,6,95,70
42,04e66e578f653ab9,2017,7,106,85
43,04e66e578f653ab9,2017,8,149,56
44,04e66e578f653ab9,2017,9,160,2214
45,04e66e578f653ab9,2017,10,190,1291
46,04e66e578f653ab9,2017,11,137,40
47,04e66e578f653ab9,2017,12,105,500
48,06880909932890ca,2016,1,3,675
49,06880909932890ca,2016,2,7,1124
50,06880909932890ca,2016,3,12,305
51,06880909932890ca,2016,4,28,137
52,06880909932890ca,2016,5,19,106
53,06880909932890ca,2016,6,32,2034
54,06880909932890ca,2016,7,37,89
55,06880909932890ca,2016,8,52,593
56,06880909932890ca,2016,9,47,817
57,06880909932890ca,2016,10,74,1756
58,06880909932890ca,2016,11,56,1214
59,06880909932890ca,2016,12,53,235
60,06880909932890ca,2017,1,63,766
61,06880909932890ca,2017,2,124,605
62,06880909932890ca,2017,3,95,2440
63,06880909932890ca,2017,4,138,2473
64,06880909932890ca,2017,5,178,368
65,06880909932890ca,2017,6,155,52
66,06880909932890ca,2017,7,185,110
67,06880909932890ca,2017,8,256,48
68,06880909932890ca,2017,9,372,9
69,06880909932890ca,2017,10,260,25
70,06880909932890ca,2017,11,209,2
71,06880909932890ca,2017,12,143,10
72,0797526c057dcf5b,2016,1,9,4481
73,0797526c057dcf5b,2016,2,13,5941
74,0797526c057dcf5b,2016,3,26,2454
75,0797526c057dcf5b,2016,4,68,3129
76,0797526c057dcf5b,2016,5,155,2338
77,0797526c057dcf5b,2016,6,215,1618
78,0797526c057dcf5b,2016,7,233,3710
79,0797526c057dcf5b,2016,8,195,2851
