,province,adcode,model,regYear,regMonth,popularity
28026,上海,310000,02aab221aabc03b9,2016,1,515
28096,上海,310000,02aab221aabc03b9,2016,2,508
28028,上海,310000,02aab221aabc03b9,2016,3,603
28029,上海,310000,02aab221aabc03b9,2016,4,515
28030,上海,310000,02aab221aabc03b9,2016,5,481
28031,上海,310000,02aab221aabc03b9,2016,6,501
28051,上海,310000,02aab221aabc03b9,2016,7,549
28116,上海,310000,02aab221aabc03b9,2016,8,582
28034,上海,310000,02aab221aabc03b9,2016,9,597
28035,上海,310000,02aab221aabc03b9,2016,10,593
28036,上海,310000,02aab221aabc03b9,2016,11,529
28038,上海,310000,02aab221aabc03b9,2016,12,651
28037,上海,310000,02aab221aabc03b9,2017,1,596
28039,上海,310000,02aab221aabc03b9,2017,2,685
28043,上海,310000,02aab221aabc03b9,2017,3,637
28040,上海,310000,02aab221aabc03b9,2017,4,900
28041,上海,310000,02aab221aabc03b9,2017,5,581
28042,上海,310000,02aab221aabc03b9,2017,6,612
28047,上海,310000,02aab221aabc03b9,2017,7,519
28044,上海,310000,02aab221aabc03b9,2017,8,763
28045,上海,310000,02aab221aabc03b9,2017,9,707
28046,上海,310000,02aab221aabc03b9,2017,10,401
28050,上海,310000,02aab221aabc03b9,2017,11,552
28048,上海,310000,02aab221aabc03b9,2017,12,383
12624,上海,310000,04e66e578f653ab9,2016,1,863
12625,上海,310000,04e66e578f653ab9,2016,2,1137
12626,上海,310000,04e66e578f653ab9,2016,3,1059
12627,上海,310000,04e66e578f653ab9,2016,4,817
12628,上海,310000,04e66e578f653ab9,2016,5,713
12629,上海,310000,04e66e578f653ab9,2016,6,654
12630,上海,310000,04e66e578f653ab9,2016,7,862
12631,上海,310000,04e66e578f653ab9,2016,8,2131
12632,上海,310000,04e66e578f653ab9,2016,9,2025
12633,上海,310000,04e66e578f653ab9,2016,10,1574
12634,上海,310000,04e66e578f653ab9,2016,11,1650
12635,上海,310000,04e66e578f653ab9,2016,12,1586
12636,上海,310000,04e66e578f653ab9,2017,1,1287
12637,上海,310000,04e66e578f653ab9,2017,2,830
12638,上海,310000,04e66e578f653ab9,2017,3,835
12639,上海,310000,04e66e578f653ab9,2017,4,689
12640,上海,310000,04e66e578f653ab9,2017,5,653
12641,上海,310000,04e66e578f653ab9,2017,6,551
12642,上海,310000,04e66e578f653ab9,2017,7,714
12643,上海,310000,04e66e578f653ab9,2017,8,618
12644,上海,310000,04e66e578f653ab9,2017,9,597
12645,上海,310000,04e66e578f653ab9,2017,10,620
12646,上海,310000,04e66e578f653ab9,2017,11,532
12647,上海,310000,04e66e578f653ab9,2017,12,548
12168,上海,310000,06880909932890ca,2016,1,713
12169,上海,310000,06880909932890ca,2016,2,839
12170,上海,310000,06880909932890ca,2016,3,883
12171,上海,310000,06880909932890ca,2016,4,584
12172,上海,310000,06880909932890ca,2016,5,627
12173,上海,310000,06880909932890ca,2016,6,682
12174,上海,310000,06880909932890ca,2016,7,712
12175,上海,310000,06880909932890ca,2016,8,694
12176,上海,310000,06880909932890ca,2016,9,733
12177,上海,310000,06880909932890ca,2016,10,741
12178,上海,310000,06880909932890ca,2016,11,610
12179,上海,310000,06880909932890ca,2016,12,666
12180,上海,310000,06880909932890ca,2017,1,505
12181,上海,310000,06880909932890ca,2017,2,682
12182,上海,310000,06880909932890ca,2017,3,426
12183,上海,310000,06880909932890ca,2017,4,370
12184,上海,310000,06880909932890ca,2017,5,405
12185,上海,310000,06880909932890ca,2017,6,410
12186,上海,310000,06880909932890ca,2017,7,418
12187,上海,310000,06880909932890ca,2017,8,441
12188,上海,310000,06880909932890ca,2017,9,497
12189,上海,310000,06880909932890ca,2017,10,511
12190,上海,310000,06880909932890ca,2017,11,459
12191,上海,310000,06880909932890ca,2017,12,444
11976,上海,310000,0797526c057dcf5b,2016,1,495
11977,上海,310000,0797526c057dcf5b,2016,2,628
11978,上海,310000,0797526c057dcf5b,2016,3,692
11979,上海,310000,0797526c057dcf5b,2016,4,463
11980,上海,310000,0797526c057dcf5b,2016,5,452
11981,上海,310000,0797526c057dcf5b,2016,6,428
11982,上海,310000,0797526c057dcf5b,2016,7,439
11983,上海,310000,0797526c057dcf5b,2016,8,449
11984,上海,310000,0797526c057dcf5b,2016,9,547
11985,上海,310000,0797526c057dcf5b,2016,10,588
11986,上海,310000,0797526c057dcf5b,2016,11,510
11987,上海,310000,0797526c057dcf5b,2016,12,610
11988,上海,310000,0797526c057dcf5b,2017,1,541
11989,上海,310000,0797526c057dcf5b,2017,2,636
11990,上海,310000,0797526c057dcf5b,2017,3,465
11991,上海,310000,0797526c057dcf5b,2017,4,386
11992,上海,310000,0797526c057dcf5b,2017,5,443
11993,上海,310000,0797526c057dcf5b,2017,6,408
11994,上海,310000,0797526c057dcf5b,2017,7,439
11995,上海,310000,0797526c057dcf5b,2017,8,491
11996,上海,310000,0797526c057dcf5b,2017,9,518
11997,上海,310000,0797526c057dcf5b,2017,10,523
11998,上海,310000,0797526c057dcf5b,2017,11,464
11999,上海,310000,0797526c057dcf5b,2017,12,495
27765,上海,310000,12f8b7e14947c34d,2016,1,2026
27766,上海,310000,12f8b7e14947c34d,2016,2,2013
27769,上海,310000,12f8b7e14947c34d,2016,3,2253
27767,上海,310000,12f8b7e14947c34d,2016,4,1696
27768,上海,310000,12f8b7e14947c34d,2016,5,5470
27771,上海,310000,12f8b7e14947c34d,2016,6,2109
27772,上海,310000,12f8b7e14947c34d,2016,7,2000
27833,上海,310000,12f8b7e14947c34d,2016,8,2091
27834,上海,310000,12f8b7e14947c34d,2016,9,2170
27773,上海,310000,12f8b7e14947c34d,2016,10,2215
27774,上海,310000,12f8b7e14947c34d,2016,11,1923
27775,上海,310000,12f8b7e14947c34d,2016,12,2003
27776,上海,310000,12f8b7e14947c34d,2017,1,1465
27777,上海,310000,12f8b7e14947c34d,2017,2,2205
27778,上海,310000,12f8b7e14947c34d,2017,3,2258
27779,上海,310000,12f8b7e14947c34d,2017,4,1933
27780,上海,310000,12f8b7e14947c34d,2017,5,1618
27781,上海,310000,12f8b7e14947c34d,2017,6,1309
27782,上海,310000,12f8b7e14947c34d,2017,7,1369
27783,上海,310000,12f8b7e14947c34d,2017,8,1746
27784,上海,310000,12f8b7e14947c34d,2017,9,1599
27785,上海,310000,12f8b7e14947c34d,2017,10,1566
27810,上海,310000,12f8b7e14947c34d,2017,11,1447
27786,上海,310000,12f8b7e14947c34d,2017,12,1501
27883,上海,310000,17363f08d683d52b,2016,1,2120
27884,上海,310000,17363f08d683d52b,2016,2,2565
27885,上海,310000,17363f08d683d52b,2016,3,2337
27937,上海,310000,17363f08d683d52b,2016,4,1644
27907,上海,310000,17363f08d683d52b,2016,5,1498
27886,上海,310000,17363f08d683d52b,2016,6,1344
27888,上海,310000,17363f08d683d52b,2016,7,1441
27890,上海,310000,17363f08d683d52b,2016,8,1404
27891,上海,310000,17363f08d683d52b,2016,9,1781
27892,上海,310000,17363f08d683d52b,2016,10,1665
27906,上海,310000,17363f08d683d52b,2016,11,1206
27893,上海,310000,17363f08d683d52b,2016,12,1351
27894,上海,310000,17363f08d683d52b,2017,1,1197
27895,上海,310000,17363f08d683d52b,2017,2,1448
27923,上海,310000,17363f08d683d52b,2017,3,860
27896,上海,310000,17363f08d683d52b,2017,4,769
27897,上海,310000,17363f08d683d52b,2017,5,622
27898,上海,310000,17363f08d683d52b,2017,6,624
27925,上海,310000,17363f08d683d52b,2017,7,449
27899,上海,310000,17363f08d683d52b,2017,8,560
27900,上海,310000,17363f08d683d52b,2017,9,538
27901,上海,310000,17363f08d683d52b,2017,10,435
27902,上海,310000,17363f08d683d52b,2017,11,892
27903,上海,310000,17363f08d683d52b,2017,12,1076
11904,上海,310000,17bc272c93f19d56,2016,1,3369
11905,上海,310000,17bc272c93f19d56,2016,2,3267
11906,上海,310000,17bc272c93f19d56,2016,3,3228
11907,上海,310000,17bc272c93f19d56,2016,4,2283
11908,上海,310000,17bc272c93f19d56,2016,5,2657
11909,上海,310000,17bc272c93f19d56,2016,6,2430
11910,上海,310000,17bc272c93f19d56,2016,7,2462
11911,上海,310000,17bc272c93f19d56,2016,8,2515
11912,上海,310000,17bc272c93f19d56,2016,9,2865
11913,上海,310000,17bc272c93f19d56,2016,10,3386
11914,上海,310000,17bc272c93f19d56,2016,11,2708
11915,上海,310000,17bc272c93f19d56,2016,12,3085
11916,上海,310000,17bc272c93f19d56,2017,1,2360
11917,上海,310000,17bc272c93f19d56,2017,2,3193
11918,上海,310000,17bc272c93f19d56,2017,3,2468
11919,上海,310000,17bc272c93f19d56,2017,4,1471
11920,上海,310000,17bc272c93f19d56,2017,5,1486
11921,上海,310000,17bc272c93f19d56,2017,6,1432
11922,上海,310000,17bc272c93f19d56,2017,7,1400
11923,上海,310000,17bc272c93f19d56,2017,8,1369
11924,上海,310000,17bc272c93f19d56,2017,9,1378
11925,上海,310000,17bc272c93f19d56,2017,10,1298
11926,上海,310000,17bc272c93f19d56,2017,11,1110
11927,上海,310000,17bc272c93f19d56,2017,12,1210
27715,上海,310000,212083a9246d2fd3,2016,1,2343
27750,上海,310000,212083a9246d2fd3,2016,2,2300
27716,上海,310000,212083a9246d2fd3,2016,3,2440
27717,上海,310000,212083a9246d2fd3,2016,4,1895
27718,上海,310000,212083a9246d2fd3,2016,5,2082
27720,上海,310000,212083a9246d2fd3,2016,6,2006
27721,上海,310000,212083a9246d2fd3,2016,7,2034
27722,上海,310000,212083a9246d2fd3,2016,8,2041
27724,上海,310000,212083a9246d2fd3,2016,9,2222
27725,上海,310000,212083a9246d2fd3,2016,10,2149
27731,上海,310000,212083a9246d2fd3,2016,11,1916
27726,上海,310000,212083a9246d2fd3,2016,12,2041
27728,上海,310000,212083a9246d2fd3,2017,1,1508
27727,上海,310000,212083a9246d2fd3,2017,2,1818
27730,上海,310000,212083a9246d2fd3,2017,3,1284
27729,上海,310000,212083a9246d2fd3,2017,4,1247
27734,上海,310000,212083a9246d2fd3,2017,5,1077
27790,上海,310000,212083a9246d2fd3,2017,6,1081
27732,上海,310000,212083a9246d2fd3,2017,7,959
27733,上海,310000,212083a9246d2fd3,2017,8,1142
27735,上海,310000,212083a9246d2fd3,2017,9,1147
27738,上海,310000,212083a9246d2fd3,2017,10,1159
27736,上海,310000,212083a9246d2fd3,2017,11,1097
27737,上海,310000,212083a9246d2fd3,2017,12,1119
12072,上海,310000,28e29f2c03dcd84c,2016,1,630
12073,上海,310000,28e29f2c03dcd84c,2016,2,686
12074,上海,310000,28e29f2c03dcd84c,2016,3,653
12075,上海,310000,28e29f2c03dcd84c,2016,4,536
12076,上海,310000,28e29f2c03dcd84c,2016,5,624
12077,上海,310000,28e29f2c03dcd84c,2016,6,525
12078,上海,310000,28e29f2c03dcd84c,2016,7,487
12079,上海,310000,28e29f2c03dcd84c,2016,8,505
12080,上海,310000,28e29f2c03dcd84c,2016,9,525
12081,上海,310000,28e29f2c03dcd84c,2016,10,570
12082,上海,310000,28e29f2c03dcd84c,2016,11,492
12083,上海,310000,28e29f2c03dcd84c,2016,12,558
12084,上海,310000,28e29f2c03dcd84c,2017,1,464
12085,上海,310000,28e29f2c03dcd84c,2017,2,639
12086,上海,310000,28e29f2c03dcd84c,2017,3,526
12087,上海,310000,28e29f2c03dcd84c,2017,4,487
12088,上海,310000,28e29f2c03dcd84c,2017,5,486
12089,上海,310000,28e29f2c03dcd84c,2017,6,481
12090,上海,310000,28e29f2c03dcd84c,2017,7,546
12091,上海,310000,28e29f2c03dcd84c,2017,8,545
12092,上海,310000,28e29f2c03dcd84c,2017,9,673
12093,上海,310000,28e29f2c03dcd84c,2017,10,656
